Name;Currency;Market Cap;CDP;FTSE4Good;MSCI ESG Ratings;Moody's ESG Solution;Sustainalytics;Carbon footprint (total GHG emissions / enterprise value);Share of women in total workforce;Rate of resignation;Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector
ACCOR;EUR;9.510B;;;;;;535.17 Ton / Million (EUR); %; %;Stock;Ordinary Shares;Euronext Paris;FR0000120404;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501025, Hotels and Motels
AIR LIQUIDE;EUR;97.870B;;;;;;;28 %;8.6 %;Stock;Ordinary Shares;Euronext Paris;FR0000120073;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201020, Specialty Chemicals
AIRBUS SE;EUR;126.686B;;;;;;;20 %;;Stock;Ordinary Shares;Euronext Paris;NL0000235190;50, Industrials;5020, Industrial Goods and Services;502010, Aerospace and Defense;50201010, Aerospace
ARCELORMITTAL SA;EUR;20.050B;;;;;;3,373.201 Ton / Million (USD);;;Stock;Ordinary Shares;Euronext Amsterdam;LU1598757687;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102010, Iron and Steel
AXA;EUR;75.961B;;;;;;2.54 Ton / Million (EUR);;10 %;Stock;Ordinary Shares;Euronext Paris;FR0000120628;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance
BNP PARIBAS ACT.A;EUR;73.611B;;;;;;;51 %;;Stock;Ordinary Shares;Euronext Paris;FR0000131104;30, Financials;3010, Banks;301010, Banks;30101010, Banks
BOUYGUES;EUR;13.714B;;;;;;716.98 Ton / Million (EUR); %;;Stock;Ordinary Shares;Euronext Paris;FR0000120503;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101010, Construction
CAPGEMINI;EUR;34.936B;;;;;;22.12 Ton / Million (EUR);38.8 %;;Stock;Ordinary Shares;Euronext Paris;FR0000125338;10, Technology;1010, Technology;101010, Software and Computer Services;10101010, Computer Services
CARREFOUR;EUR;11.064B;;;;;;;55 %;15.8 %;Stock;Ordinary Shares;Euronext Paris;FR0000120172;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201010, Food Retailers and Wholesalers
CREDIT AGRICOLE;EUR;41.349B;B;;;;22.7;;52.2 %;4 %;Stock;Ordinary Shares;Euronext Paris;FR0000045072;30, Financials;3010, Banks;301010, Banks;30101010, Banks
DANONE;EUR;39.677B;;;;;;;;;Stock;Ordinary Shares;Euronext Paris;FR0000120644;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products
DASSAULT SYSTEMES;EUR;51.275B;B;;;;;3.6589 Ton / Million (EUR);28.1 %;;Stock;Ordinary Shares;Euronext Paris;FR0014003TT8;10, Technology;1010, Technology;101010, Software and Computer Services;10101015, Software
EDENRED;EUR;11.172B;;3.7/5;;;16.8;6.16 Ton / Million (EUR);52 %;;Stock;Ordinary Shares;Euronext Paris;FR0010908533;50, Industrials;5020, Industrial Goods and Services;502050, Industrial Support Services;50205015, Transaction Processing Services
ENGIE;EUR;38.307B;;;;;;1,727.98 Ton / Million (EUR);26.5 %;5.4 %;Stock;Ordinary Shares;Euronext Paris;FR0010208488;65, Utilities;6510, Utilities;651020, Gas, Water and Multi-utilities;65102000, Multi-utilities
ESSILORLUXOTTICA;EUR;91.314B;;;;;;13.12 Ton / Million (EUR);60 %;;Stock;Ordinary Shares;Euronext Paris;FR0000121667;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102015, Medical Supplies
EUROFINS SCIENT.;EUR;11.370B;;;;;;31.9102 Ton / Million (EUR);57 %;;Stock;Ordinary Shares;Euronext Paris;FR0014000MR3;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102020, Medical Services
HERMES INTL;EUR;247.244B;;;;;Negligible risk |9.2;;67 %;;Stock;Ordinary Shares;Euronext Paris;FR0000052292;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204020, Clothing and Accessories
KERING;EUR;42.086B;;;AAA;73/100;;39.66 Ton / Million (EUR);63 %;;Stock;Ordinary Shares;Euronext Paris;FR0000121485;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204020, Clothing and Accessories
L'OREAL;EUR;223.649B;;;;;;46.06 Ton / Million (EUR);68 %;;Stock;Ordinary Shares;Euronext Paris;FR0000120321;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204035, Cosmetics
LEGRAND;EUR;24.919B;;;;;;437.52 Ton / Million (EUR); %;6.6 %;Stock;Ordinary Shares;Euronext Paris;FR0010307819;50, Industrials;5020, Industrial Goods and Services;502020, Electronic and Electrical Equipment;50202010, Electrical Components
LVMH;EUR;403.126B;AAA;4/5;A;68/100;Low risk;1.88 Ton / Million (EUR);71 %;16.5 %;Stock;Ordinary Shares;Euronext Paris;FR0000121014;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204020, Clothing and Accessories
MICHELIN;EUR;24.595B;;;;;;;19.9 %;5.43 %;Stock;Ordinary Shares;Euronext Paris;FR001400AJ45;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101015, Tires
ORANGE;EUR;28.090B;;;;;; Ton / Million (EUR);36.2 %;4.3 %;Stock;Ordinary Shares;Euronext Paris;FR0000133308;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services
PERNOD RICARD;EUR;36.249B;;;;;;76.1188 Ton / Million (EUR);40 %;8.5 %;Stock;Ordinary Shares;Euronext Paris;FR0000120693;45, Consumer Staples;4510, Food, Beverage and Tobacco;451010, Beverages;45101015, Distillers and Vintners
PUBLICIS GROUPE SA;EUR;25.787B;;;;;;10.65 Ton / Million (EUR);51.3 %;;Stock;Ordinary Shares;Euronext Paris;FR0000130577;40, Consumer Discretionary;4030, Media;403010, Media;40301020, Media Agencies
RENAULT;EUR;14.280B;;;;;;1,190.19 Ton / Million (EUR);22 %;;Stock;Ordinary Shares;Euronext Paris;FR0000131906;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101020, Automobiles
SAFRAN;EUR;88.315B;;;;;; Ton / Million (EUR);29.3 %;7.7 %;Stock;Ordinary Shares;Euronext Paris;FR0000073272;50, Industrials;5020, Industrial Goods and Services;502010, Aerospace and Defense;50201010, Aerospace
SAINT GOBAIN;EUR;35.999B;;;;;;810.88 Ton / Million (EUR);23.7 %;8.6 %;Stock;Ordinary Shares;Euronext Paris;FR0000125007;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101035, Building Materials: Other
SANOFI;EUR;109.000B;;;;;;;;;Stock;Ordinary Shares;Euronext Paris;FR0000120578;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103015, Pharmaceuticals
SCHNEIDER ELECTRIC SE;EUR;120.009B;;;;;;713.31 Ton / Million (EUR);33 %;8.52 %;Stock;Ordinary Shares;Euronext Paris;FR0000121972;50, Industrials;5020, Industrial Goods and Services;502020, Electronic and Electrical Equipment;50202010, Electrical Components
SOCIETE GENERALE;EUR;19.400B;;;;;;; %; %;Stock;Ordinary Shares;Euronext Paris;FR0000130809;30, Financials;3010, Banks;301010, Banks;30101010, Banks
STELLANTIS NV;EUR;76.772B;;;;;;6,409.5742 Ton / Million (EUR); %; %;Stock;Ordinary Shares;Euronext Paris;NL00150001Q9;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101020, Automobiles
STMICROELECTRONICS;EUR;34.665B;;;;;;27.9849 Ton / Million (USD); %; %;Stock;Ordinary Shares;Euronext Paris;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors
TELEPERFORMANCE;EUR;5.483B;;;;;;23.89 Ton / Million (EUR); %;;Stock;Ordinary Shares;Euronext Paris;FR0000051807;50, Industrials;5020, Industrial Goods and Services;502050, Industrial Support Services;50205020, Professional Business Support Services
THALES;EUR;33.024B;;;;;;;;;Stock;Ordinary Shares;Euronext Paris;FR0000121329;50, Industrials;5020, Industrial Goods and Services;502010, Aerospace and Defense;50201020, Defense
TOTALENERGIES;EUR;161.494B;;;;;;1,880.7629 Ton / Million (USD);36.3 %;9.1 %;Stock;Ordinary Shares;Euronext Paris;FR0000120271;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas
UNIBAIL-RODAMCO-WESTFIELD;EUR;10.278B;;;;;5.8 / Negligible Risk;75.36 Ton / Million (EUR);54.2 %;9.4 %;Stock;Ordinary Shares;Euronext Paris;FR0013326246;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102045, Retail REITs
VEOLIA ENVIRON.;EUR;20.268B;;;;;;1,305.4959 Ton / Million (EUR);22.3 %;8.6 %;Stock;Ordinary Shares;Euronext Paris;FR0000124141;65, Utilities;6510, Utilities;651020, Gas, Water and Multi-utilities;65102030, Water
VINCI;EUR;66.210B;;;;;;437.83 Ton / Million (EUR);16.8 %;10.4 %;Stock;Ordinary Shares;Euronext Paris;FR0000125486;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101010, Construction
VIVENDI SE;EUR;10.058B;;;;;;9.9488 Ton / Million (EUR);54 %;52 %;Stock;Ordinary Shares;Euronext Paris;FR0000127771;40, Consumer Discretionary;4030, Media;403010, Media;40301035, Radio and TV Broadcasters
ABN AMRO BANK N.V.;EUR;7.569B;;;;;;;;;Stock;Cooperative Investment Certificate;Euronext Amsterdam;NL0011540547;30, Financials;3010, Banks;301010, Banks;30101010, Banks
ADYEN;EUR;44.546B;;;;;;1.45 Ton / Million (EUR);38 %;;Stock;Ordinary Shares;Euronext Amsterdam;NL0012969182;50, Industrials;5020, Industrial Goods and Services;502050, Industrial Support Services;50205015, Transaction Processing Services
AEGON;EUR;10.090B;;;;;;1.31 Ton / Million (EUR);51 %;10 %;Stock;Ordinary Shares;Euronext Amsterdam;BMG0112X1056;30, Financials;3030, Insurance;303010, Life Insurance;30301010, Life Insurance
KONINKLIJKE AHOLD DELHAIZE N.V.;EUR;25.453B;;;AAA;;26.2; Ton / Million (EUR);52 %;;Stock;Ordinary Shares;Euronext Amsterdam;NL0011794037;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201010, Food Retailers and Wholesalers
AKZO NOBEL;EUR;11.208B;;;;;;;27 %;7 %;Stock;Ordinary Shares;Euronext Amsterdam;NL0013267909;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201020, Specialty Chemicals
ARCELORMITTAL SA;EUR;20.050B;;;;;;3,373.201 Ton / Million (USD);;;Stock;Ordinary Shares;Euronext Amsterdam;LU1598757687;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102010, Iron and Steel
ASM International N.V.;EUR;28.678B;;;;;; Ton / Million (EUR);17 %;6.2 %;Stock;Ordinary Shares;Euronext Amsterdam;NL0000334118;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102020, Production Technology Equipment
ASML HOLDING;EUR;340.606B;;;;;;53.8487 Ton / Million (EUR);20 %;;Stock;Ordinary Shares;Euronext Amsterdam;NL0010273215;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102020, Production Technology Equipment
ASR NEDERLAND;EUR;9.499B;;;;;;;;;Stock;Ordinary Shares;Euronext Amsterdam;NL0011872643;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance
BE Semiconductor Industries N.V.;EUR;11.551B;;;;;15.2;1.31 Ton / Million (EUR);17 %;;Stock;Ordinary Shares;Euronext Amsterdam;NL0012866412;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors
DSM FIRMENICH AG;EUR;26.993B;;;;;;;37 %;3.6 %;Stock;Ordinary Shares;Euronext Amsterdam;CH1216478797;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products
EXOR;EUR;22.275B;;;;;;0.0282 Ton / Million (EUR);50 %;;Stock;Ordinary Shares;Euronext Amsterdam;NL0012059018;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services
HEINEKEN;EUR;50.204B;;;;;;210.222 Ton / Million (EUR);24 %;;Stock;Ordinary Shares;Euronext Amsterdam;NL0000009165;45, Consumer Staples;4510, Food, Beverage and Tobacco;451010, Beverages;45101010, Brewers
IMCD;EUR;8.711B;;;;;;36.32 Ton / Million (EUR);54 %;;Stock;Ordinary Shares;Euronext Amsterdam;NL0010801007;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201020, Specialty Chemicals
ING GROEP N.V.;EUR;49.306B;;;;;;; %;;Stock;Ordinary Shares;Euronext Amsterdam;NL0011821202;30, Financials;3010, Banks;301010, Banks;30101010, Banks
KPN KON;EUR;13.334B;;;;;;45.2565 Ton / Million (EUR);22.1 %;;Stock;Ordinary Shares;Euronext Amsterdam;NL0000009082;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services
NN GROUP;EUR;12.036B;;;;;;0.37 Ton / Million (EUR);50 %;;Stock;Ordinary Shares;Euronext Amsterdam;NL0010773842;30, Financials;3030, Insurance;303010, Life Insurance;30301010, Life Insurance
KON.PHILIPS N.V.;EUR;17.302B;;;;;;;;;Stock;Ordinary Shares;Euronext Amsterdam;NL0000009538;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102010, Medical Equipment
PROSUS;EUR;73.392B;;;;;;0.2568 Ton / Million (USD);42.9 %;;Stock;Ordinary Shares;Euronext Amsterdam;NL0013654783;10, Technology;1010, Technology;101010, Software and Computer Services;10101020, Consumer Digital Services
Randstad N.V.;EUR;8.519B;;;;;;20.2815 Ton / Million (EUR);67 %;;Stock;Ordinary Shares;Euronext Amsterdam;NL0000379121;50, Industrials;5020, Industrial Goods and Services;502050, Industrial Support Services;50205025, Business Training and Employment Agencies
RELX;EUR;74.032B;;;;;;0.8505 Ton / Million (GBP);50 %;8.4 %;Stock;Ordinary Shares;Euronext Amsterdam;GB00B2B0DG97;40, Consumer Discretionary;4030, Media;403010, Media;40301030, Publishing
SHELL PLC;EUR;218.753B;;;;;;4,267.5616 Ton / Million (USD);33 %;5 %;Stock;Ordinary Shares;Euronext Amsterdam;GB00BP6MXD84;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas
UNIVERSAL MUSIC GROUP;EUR;49.171B;;;;;;;;;Stock;Ordinary Shares;Euronext Amsterdam;NL0015000IY2;40, Consumer Discretionary;4030, Media;403010, Media;40301010, Entertainment
UNILEVER PLC;EUR;115.564B;;;;;;0 Million tons / Million (EUR);36 %;;Stock;Ordinary Shares;Euronext Amsterdam;GB00B10RZP78;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201020, Personal Products
WOLTERS KLUWER;EUR;35.078B;;;;;;;;;Stock;Ordinary Shares;Euronext Amsterdam;NL0000395903;40, Consumer Discretionary;4030, Media;403010, Media;40301030, Publishing
AB INBEV;EUR;96.797B;;;;;;142.249 Ton / Million (USD);22 %;;Stock;Ordinary Shares;Euronext Brussels;BE0974293251;45, Consumer Staples;4510, Food, Beverage and Tobacco;451010, Beverages;45101010, Brewers
ACKERMANS V.HAAREN;EUR;5.236B;;;;;7.9;0.03 Ton / Million (EUR);44.9 %;;Stock;Ordinary Shares;Euronext Brussels;BE0003764785;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services
AEDIFICA;EUR;2.727B;;;;;;8.7965 Ton / Million (EUR);37.19 %;;Stock;Ordinary Shares;Euronext Brussels;BE0003851681;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102010, Health Care REITs
AGEAS;EUR;8.041B;;;;;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0974264930;30, Financials;3030, Insurance;303010, Life Insurance;30301010, Life Insurance
ARGENX SE;EUR;20.207B;;;;;;;63 %;4.27 %;Stock;Ordinary Shares;Euronext Brussels;NL0010832176;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103010, Biotechnology
COFINIMMO;EUR;2.281B;B;;AA;;11.2 (low risk);9 Ton / Million (EUR);53 %;;Stock;Ordinary Shares;Euronext Brussels;BE0003593044;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102010, Health Care REITs
D'IETEREN GROUP;EUR;10.903B;;;;;11.3;7.9484 Ton / Million (EUR);50 %;;Stock;Ordinary Shares;Euronext Brussels;BE0974259880;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101010, Auto Services
ELIA GROUP;EUR;6.738B;;;;;;174.0501 Ton / Million (EUR);22.9 %;;Stock;Ordinary Shares;Euronext Brussels;BE0003822393;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity
GALAPAGOS;EUR;1.804B;;;;;;16.59 Ton / Million (EUR);56 %;12 %;Stock;Ordinary Shares;Euronext Amsterdam;BE0003818359;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103010, Biotechnology
GBL;EUR;10.086B;;;;;9.2;131,153.8842 Ton / Million (EUR);71 %;;Stock;Ordinary Shares;Euronext Brussels;BE0003797140;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services
KBC;EUR;28.644B;;;;;;;57 %;;Stock;Ordinary Shares;Euronext Brussels;BE0003565737;30, Financials;3010, Banks;301010, Banks;30101010, Banks
LOTUS BAKERIES;EUR;7.238B;;;;;;;51 %;;Stock;Ordinary Shares;Euronext Brussels;BE0003604155;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products
MELEXIS;EUR;2.941B;;;;;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0165385973;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors
SOFINA;EUR;7.234B;;;;;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0003717312;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202010, Asset Managers and Custodians
SOLVAY;EUR;3.155B;;;;;;2,649.5661 Ton / Million (EUR);24 %;;Stock;Ordinary Shares;Euronext Brussels;BE0003470755;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201000, Chemicals: Diversified
SYENSQO;EUR;9.271B;;;;;;;;;Stock;Ordinary Shares;Euronext Brussels;BE0974464977;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101000, Diversified Materials
UCB;EUR;23.321B;;;;;;5.5253 Ton / Million (EUR);51.12 %;5.4 %;Stock;Ordinary Shares;Euronext Brussels;BE0003739530;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103015, Pharmaceuticals
UMICORE;EUR;5.234B;;;;;;821.9888 Ton / Million (EUR);23.45 %;6.53 %;Stock;Ordinary Shares;Euronext Brussels;BE0974320526;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201020, Specialty Chemicals
WAREHOUSES DE PAUW;EUR;5.433B;B;;;;;30.2201 Ton / Million (EUR);43 %;2 %;Stock;Ordinary Shares;Euronext Brussels;BE0974349814;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102020, Industrial REITs
ALTRI SGPS;EUR;1.023B;A-;;;;;262.8806 Ton / Million (EUR);18 %;;Stock;Ordinary Shares;Euronext Lisbon;PTALT0AE0002;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101015, Paper
B.C.P.-BCO COMERCIAL PORTUGUES;;;;;;;;;55 %;;Stock;Ordinary Shares;Euronext Lisbon;PTBCP0AM0015;30, Financials;3010, Banks;301010, Banks;30101010, Banks
Corticeira Amorim-SGPS;EUR;1.286B;;;;;;167.8415 Ton / Million (EUR);26 %;;Stock;Ordinary Shares;Euronext Lisbon;PTCOR0AE0006;50, Industrials;5020, Industrial Goods and Services;502030, General Industrials;50203030, Containers and Packaging
CTT-CORREIOS DE PORTUGAL, SA;EUR;640.422M;;;;;;19.34 Ton / Million (EUR);39 %;;Stock;Ordinary Shares;Euronext Lisbon;PTCTT0AM0001;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206040, Delivery Services
EDP;EUR;15.033B;;;;;19.4 (Low risk);281.88 Ton / Million (EUR);29 %;5.8 %;Stock;Ordinary Shares;Euronext Lisbon;PTEDP0AM0009;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity
EDP RENOVAVEIS;EUR;13.097B;;;;;16.2 (Low Risk);85.89 Ton / Million (EUR);34 %;14.2 %;Stock;Ordinary Shares;Euronext Lisbon;ES0127797019;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity
GALP ENERGIA-NOM;EUR;11.515B;;;;;;;45 %;;Stock;Ordinary Shares;Euronext Lisbon;PTGAL0AM0009;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas
GREENVOLT ENERGIAS RENOVAVEIS S.A.;EUR;1.155B;;;;;;31.2345 Ton / Million (EUR);40 %;;Stock;Ordinary Shares;Euronext Lisbon;PTGNV0AM0001;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity
